软件名称,RPM名称,软件包名称,功能说明,详细情况,依赖关系
procps,procps-3.3.17-r0.aarch64.rpm,procps,/proc的ps实用程序,procps包包含一组提供系统信息的系统实用程序。Procps包括ps、free、skill、snice、tload、top、uptime、vmstat、w和watch。,libc6 >= 2.34+10.3.1 libncurses5 >= 6.3 libprocps8 >= 3.3.17 libtinfo5 >= 6.3 procps-ps procps-sysctl update-alternatives-opkg
procps,procps-ps-3.3.17-r0.aarch64.rpm,procps-ps,提供ps程序查看进程运行状态,,libc6 >= 2.34+10.3.1 libprocps8 >= 3.3.17 update-alternatives-opkg
procps,procps-sysctl-3.3.17-r0.aarch64.rpm,procps-sysctl,,,libc6 >= 2.34+10.3.1 procps-lib update-alternatives-opkg
psmisc,pstree-23.4-r0.aarch64.rpm,pstree,显示进程状态树,列出当前的进程，以及它们的树状结构,libc6 >= 2.34+10.3.1 libtinfo5 >= 6.3 
quota,quota-4.06-r0.aarch64.rpm,quota,用于监控用户磁盘使用情况的系统管理工具,包含系统管理工具，用于监控和限制每个文件系统的用户和或组磁盘使用情况。,libc6 >= 2.34+10.3.1 libcom-err2 >= 1.46.4 libext2fs2 >= 1.46.4 libtirpc3 >= 1.3.2 
readline,libreadline8-8.1-r0.aarch64.rpm,libreadline8,Readline库,readline库由 Bourne Again Shell（bash，标准命令解释器）用于轻松编辑命令行。这包括历史记录和搜索功能。,libc6 >= 2.34+10.3.1 libtinfo5 >= 6.3 
rng-tools,rng-tools-6.14-r0.aarch64.rpm,rng-tools,随机数生成器和相关实用程序,硬件随机数生成工具。它监视一组熵源，并将熵提供给系统内核的/dev/random机制。,libc6 >= 2.34+10.3.1 libcrypto1.1 >= 1.1.1m libjitterentropy3 >= 3.3.1 
rpcbind,rpcbind-1.2.6-r0.aarch64.rpm,rpcbind,RPC程序号映射器的通用地址,rpcbind实用程序是将RPC程序编号转换为通用地址的服务器。它必须在主机上运行，才能在该计算机上的服务器上进行RPC调用。,base-files base-passwd initd-functions libc6 >= 2.34+10.3.1 libtirpc3 >= 1.3.2 shadow update-alternatives-opkg
rsyslog,rsyslog-8.2110.0-r0.aarch64.rpm,rsyslog,用于Linux和Unix的增强系统日志,Rsyslog是一个增强的多线程syslogd，支持MySQL、syslog/tcp、RFC 3195、允许的发件人列表、对任何消息部分的过滤和细粒度输出格式控制。它与库存sysklogd相当兼容，可以用作直接替换。它的高级功能使它适合企业级、加密保护的系统日志中继链，同时也非常容易为新手用户设置。,libc6 >= 2.34+10.3.1 libcurl4 >= 7.79.1 libestr0 >= 0.1.11 libfastjson4 >= 0.99.9 libgnutls30 >= 3.7.2 libuuid1 >= 2.37.2 libz1 >= 1.2.11 logrotate 
screen,screen-4.8.0-r0.aarch64.rpm,screen,支持在一个终端上多次登录的管理器,screen实用程序允许您在一个终端上多次登录。screen对于通过远程登录到机器或通过哑终端连接但希望使用多个登录的用户非常有用。,base-files libc6 >= 2.34+10.3.1 libcrypt1 >= 1.0+10.3.1 libpam >= 1.5.2 libtinfo5 >= 6.3 
sed,sed-4.8-r0.aarch64.rpm,sed,GNU流文本编辑器,sed（流编辑器）编辑器是流或批处理（非交互式）编辑器。Sed将文本作为输入，对文本执行操作或一组操作，并输出修改后的文本。sed执行的操作（替换、删除、插入等）可以在脚本文件或命令行中指定。,libc6 >= 2.34+10.3.1 update-alternatives-opkg
shadow,shadow-4.9-r0.aarch64.rpm,shadow,用于管理用户和组帐户的实用程序,此软件包包括将普通密码文件转换为影子密码格式以及管理用户和组帐户所需的程序。,base-passwd libattr1 >= 2.5.1 libc6 >= 2.34+10.3.1 libcrypt1 >= 1.0+10.3.1 libpam >= 1.5.2 libpam-runtime pam-plugin-env pam-plugin-faildelay pam-plugin-group pam-plugin-lastlog pam-plugin-limits pam-plugin-mail pam-plugin-motd pam-plugin-nologin pam-plugin-rootok pam-plugin-securetty pam-plugin-shells shadow-base shadow-securetty update-alternatives-opkg util-linux-sulogin
shadow,shadow-base-4.9-r0.aarch64.rpm,shadow-base,提供sg工具,提供/usr/bin/sg工具,libc6 >= 2.34+10.3.1 libcrypt1 >= 1.0+10.3.1 libpam >= 1.5.2 update-alternatives-opkg
shadow,shadow-securetty-4.8.1-r1.aarch64.rpm,shadow-securetty,安全终端,提供/etc/securetty,
